strat,runfrac,floor_real_M,top_wr,top_wr_late,g,labor_total,shortfall_years_total,worst_real_spend_M,median_total_real_M,median_terminal_nom_M,ruin,reserve_mix
sc2.6,0.6,6.6,0.2,0.24,0.0,22,113,0.0,143.1,4775.1,5,b80g20
sc2.6,0.6,6.6,0.2,0.28,0.0,22,113,0.0,143.1,4775.1,5,b80g20
sc2.6,0.45,5.0,0.16,,0.0,0,135,5.0,137.4,5497.3,0,b60g40
sc2.6,0.45,5.0,0.16,0.24,0.0,0,134,5.0,137.4,5497.3,0,b60g40
sc2.6,0.45,5.0,0.16,0.28,0.0,0,134,5.0,137.4,5497.3,0,b60g40
sc2.6,0.45,5.0,0.18,,0.0,13,95,0.0,139.6,5377.7,2,b60g40
sc2.6,0.45,5.0,0.18,0.24,0.0,13,94,0.0,139.6,5377.7,2,b60g40
sc2.6,0.45,5.0,0.18,0.28,0.0,13,94,0.0,139.6,5377.7,2,b60g40
sc2.6,0.45,5.0,0.2,,0.0,13,80,0.0,141.8,4932.8,2,b60g40
sc2.6,0.45,5.0,0.2,0.24,0.0,13,79,0.0,141.8,4932.8,2,b60g40
sc2.6,0.45,5.0,0.2,0.28,0.0,13,79,0.0,141.8,4932.8,2,b60g40
sc2.6,0.45,5.5,0.16,,0.0,0,150,5.5,138.9,4743.0,0,b60g40
