start_year,strategy,elapsed_year,calendar_year,asset_yen,backfilled
1985,P09_STR_sc1.8,20,2004,8635543440,0
1985,P09_STR_sc2.0,1,1985,53208300,0
1985,P09_STR_sc2.0,2,1986,64562852,0
1985,P09_STR_sc2.0,3,1987,124444222,0
1985,P09_STR_sc2.0,4,1988,93076717,0
1985,P09_STR_sc2.0,5,1989,134689755,0
1985,P09_STR_sc2.0,6,1990,94413610,0
1985,P09_STR_sc2.0,7,1991,146208522,0
1985,P09_STR_sc2.0,8,1992,225812530,0
1985,P09_STR_sc2.0,9,1993,232510944,0
1985,P09_STR_sc2.0,10,1994,210157687,0
1985,P09_STR_sc2.0,11,1995,477249228,0
1985,P09_STR_sc2.0,12,1996,651164787,0
1985,P09_STR_sc2.0,13,1997,948463243,0
1985,P09_STR_sc2.0,14,1998,1902463519,0
1985,P09_STR_sc2.0,15,1999,5311640705,0
1985,P09_STR_sc2.0,16,2000,4415541066,0
1985,P09_STR_sc2.0,17,2001,4534109112,0
1985,P09_STR_sc2.0,18,2002,5209050479,0
1985,P09_STR_sc2.0,19,2003,16340206684,0
1985,P09_STR_sc2.0,20,2004,14907965920,0
1985,P09_STR_sc2.2,1,1985,56385600,0
1985,P09_STR_sc2.2,2,1986,69464441,0
1985,P09_STR_sc2.2,3,1987,143486961,0
1985,P09_STR_sc2.2,4,1988,105074143,0
1985,P09_STR_sc2.2,5,1989,157348247,0
1985,P09_STR_sc2.2,6,1990,107116051,0
1985,P09_STR_sc2.2,7,1991,172559152,0
1985,P09_STR_sc2.2,8,1992,277885807,0
1985,P09_STR_sc2.2,9,1993,283364389,0
1985,P09_STR_sc2.2,10,1994,253320411,0
1985,P09_STR_sc2.2,11,1995,620533223,0
1985,P09_STR_sc2.2,12,1996,869038068,0
1985,P09_STR_sc2.2,13,1997,1312368787,0
1985,P09_STR_sc2.2,14,1998,2768627436,0
1985,P09_STR_sc2.2,15,1999,8406264358,0
1985,P09_STR_sc2.2,16,2000,6804588954,0
1985,P09_STR_sc2.2,17,2001,6989811435,0
1985,P09_STR_sc2.2,18,2002,8033108151,0
1985,P09_STR_sc2.2,19,2003,27676218017,0
1985,P09_STR_sc2.2,20,2004,24655500753,0
1985,P09_STR_sc2.4,1,1985,59710800,0
1985,P09_STR_sc2.4,2,1986,74578749,0
1985,P09_STR_sc2.4,3,1987,164888288,0
1985,P09_STR_sc2.4,4,1988,118093896,0
1985,P09_STR_sc2.4,5,1989,182693063,0
1985,P09_STR_sc2.4,6,1990,120618885,0
1985,P09_STR_sc2.4,7,1991,201454653,0
1985,P09_STR_sc2.4,8,1992,337383320,0
1985,P09_STR_sc2.4,9,1993,340007023,0
1985,P09_STR_sc2.4,10,1994,300077482,0
1985,P09_STR_sc2.4,11,1995,791320034,0
1985,P09_STR_sc2.4,12,1996,1134830535,0
1985,P09_STR_sc2.4,13,1997,1774279840,0
1985,P09_STR_sc2.4,14,1998,3924309818,0
1985,P09_STR_sc2.4,15,1999,12893038453,0
1985,P09_STR_sc2.4,16,2000,10152301740,0
1985,P09_STR_sc2.4,17,2001,10430925408,0
1985,P09_STR_sc2.4,18,2002,11990389219,0
1985,P09_STR_sc2.4,19,2003,45195192479,0
1985,P09_STR_sc2.4,20,2004,39239078280,0
1985,NASDAQ_1x_BH,1,1985,32142750,0
1985,NASDAQ_1x_BH,2,1986,29326193,0
1985,NASDAQ_1x_BH,3,1987,23748737,0
1985,NASDAQ_1x_BH,4,1988,21701026,0
1985,NASDAQ_1x_BH,5,1989,19939429,0
1985,NASDAQ_1x_BH,6,1990,17002351,1
1985,NASDAQ_1x_BH,7,1991,25000257,1
1985,NASDAQ_1x_BH,8,1992,23120190,0
1985,NASDAQ_1x_BH,9,1993,20891853,0
1985,NASDAQ_1x_BH,10,1994,15957469,0
1985,NASDAQ_1x_BH,11,1995,21226625,1
1985,NASDAQ_1x_BH,12,1996,19867886,0
1985,NASDAQ_1x_BH,13,1997,23424237,1
1985,NASDAQ_1x_BH,14,1998,25129494,0
1985,NASDAQ_1x_BH,15,1999,35235176,0
1985,NASDAQ_1x_BH,16,2000,20746244,0
1985,NASDAQ_1x_BH,17,2001,13416148,0
1985,NASDAQ_1x_BH,18,2002,9917217,1
1985,NASDAQ_1x_BH,19,2003,14019969,1
1985,NASDAQ_1x_BH,20,2004,15016789,1
1990,P09_STR_sc1.0,1,1990,21731100,0
1990,P09_STR_sc1.0,2,1991,22882901,0
1990,P09_STR_sc1.0,3,1992,23792989,0
1990,P09_STR_sc1.0,4,1993,21293671,0
1990,P09_STR_sc1.0,5,1994,16373830,0
1990,P09_STR_sc1.0,6,1995,26137544,1
1990,P09_STR_sc1.0,7,1996,25765988,0
1990,P09_STR_sc1.0,8,1997,25935999,0
1990,P09_STR_sc1.0,9,1998,32524841,0
1990,P09_STR_sc1.0,10,1999,48513802,0
1990,P09_STR_sc1.0,11,2000,41328960,0
1990,P09_STR_sc1.0,12,2001,37856488,0
1990,P09_STR_sc1.0,13,2002,38359961,0
1990,P09_STR_sc1.0,14,2003,63216547,0
1990,P09_STR_sc1.0,15,2004,58740034,0
1990,P09_STR_sc1.0,16,2005,57006275,0
1990,P09_STR_sc1.0,17,2006,76480640,0
1990,P09_STR_sc1.0,18,2007,86311986,0
1990,P09_STR_sc1.0,19,2008,98452544,0
1990,P09_STR_sc1.0,20,2009,119470055,0
1990,P09_STR_sc1.4,1,1990,20420400,0
1990,P09_STR_sc1.4,2,1991,23081396,0
1990,P09_STR_sc1.4,3,1992,26253654,0
1990,P09_STR_sc1.4,4,1993,23624469,0
1990,P09_STR_sc1.4,5,1994,18290642,0
1990,P09_STR_sc1.4,6,1995,33996816,1
1990,P09_STR_sc1.4,7,1996,37419661,0
1990,P09_STR_sc1.4,8,1997,43328857,0
1990,P09_STR_sc1.4,9,1998,66490535,0
1990,P09_STR_sc1.4,10,1999,131630702,0
1990,P09_STR_sc1.4,11,2000,114010814,0
1990,P09_STR_sc1.4,12,2001,112566165,0
1990,P09_STR_sc1.4,13,2002,124276090,0
1990,P09_STR_sc1.4,14,2003,278072171,0
1990,P09_STR_sc1.4,15,2004,265337648,0
1990,P09_STR_sc1.4,16,2005,268819280,0
1990,P09_STR_sc1.4,17,2006,430628972,0
1990,P09_STR_sc1.4,18,2007,510118992,0
1990,P09_STR_sc1.4,19,2008,608461895,0
1990,P09_STR_sc1.4,20,2009,857807080,0
1990,P09_STR_sc1.6,1,1990,19770150,0
1990,P09_STR_sc1.6,2,1991,29848972,1
1990,P09_STR_sc1.6,3,1992,37339036,0
1990,P09_STR_sc1.6,4,1993,35311816,0
1990,P09_STR_sc1.6,5,1994,29138734,0
