section,key,value,note,L,clearance_dist_A_pct,nasdaq_return_pct,regime,excess_L_minus3,margin_rate_pct,intraday_add_pct,threshold_drop_pct,loss_at_liq_pct_AUM,loss_at_liq_JPY,risk_level,scenario,worst_1d_pct,cumulative_pct,n_days,n_liquidations,final_nav_liq,final_nav_base,cagr_liq,cagr_base,cagr_gap_pp,min9_liq,min9_base,min9_gap_pp,maxdd_liq,maxdd_base,maxdd_gap_pp,account_model,scenario_key,date,excess_n_pct,nasdaq_drop_pct,eff_drop_pct,liq_loss_pct_AUM,liq_loss_JPY,max_excess_date,max_excess_pct,max_L,worst_drop_date,worst_drop_pct,worst_combined_loss_pct_AUM,worst_combined_loss_JPY
M2_threshold,,,,4.0,,,,1.0,4.24,0.0,4.24,4.24,1272000.0,DANGER,mar_4.24pct_id_0pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,4.0,,,,1.0,4.24,5.0,4.0381,4.0381,1211429.0,DANGER,mar_4.24pct_id_5pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,4.0,,,,1.0,4.24,10.0,3.8545,3.8545,1156364.0,DANGER,mar_4.24pct_id_10pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,4.0,,,,1.0,4.24,15.0,3.687,3.687,1106087.0,DANGER,mar_4.24pct_id_15pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,4.0,,,,1.0,8.0,0.0,8.0,8.0,2400000.0,WARN,mar_8pct_id_0pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,4.0,,,,1.0,8.0,5.0,7.619,7.619,2285714.0,WARN,mar_8pct_id_5pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,4.0,,,,1.0,8.0,10.0,7.2727,7.2727,2181818.0,WARN,mar_8pct_id_10pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,4.0,,,,1.0,8.0,15.0,6.9565,6.9565,2086957.0,WARN,mar_8pct_id_15pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,4.0,,,,1.0,12.0,0.0,12.0,12.0,3600000.0,CLEAR,mar_12pct_id_0pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,4.0,,,,1.0,12.0,5.0,11.4286,11.4286,3428571.0,CLEAR,mar_12pct_id_5pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,4.0,,,,1.0,12.0,10.0,10.9091,10.9091,3272727.0,CLEAR,mar_12pct_id_10pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,4.0,,,,1.0,12.0,15.0,10.4348,10.4348,3130435.0,CLEAR,mar_12pct_id_15pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,5.0,,,,2.0,4.24,0.0,4.24,8.48,2544000.0,DANGER,mar_4.24pct_id_0pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_threshold,,,,5.0,,,,2.0,4.24,5.0,4.0381,8.0762,2422857.0,DANGER,mar_4.24pct_id_5pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
