glide,single,reserve_mode,run_M,res_M,bucket_y,draw,thr_M,labor,starts,saved88,ruin,termMed,floor
none,sc2.2,cash,18,22.000,0,run_first,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,18,22.000,0,reserve_first_on_down,20.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,18,22.000,0,reserve_first_on_down,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,18,22.000,0,reserve_first_on_down,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,18,14.800,1,run_first,20.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,18,14.800,1,run_first,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,18,14.800,1,run_first,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,18,14.800,1,reserve_first_on_down,20.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,18,14.800,1,reserve_first_on_down,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,18,14.800,1,reserve_first_on_down,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,18,7.600,2,run_first,20.000,31,3,0,3,11955.673,0.000
none,sc2.2,cash,18,7.600,2,run_first,22.000,31,3,0,3,11955.673,0.000
none,sc2.2,cash,18,7.600,2,run_first,25.000,31,3,0,3,11955.673,0.000
none,sc2.2,cash,18,7.600,2,reserve_first_on_down,20.000,31,3,0,3,11955.673,0.000
none,sc2.2,cash,18,7.600,2,reserve_first_on_down,22.000,31,3,0,3,11955.673,0.000
none,sc2.2,cash,18,7.600,2,reserve_first_on_down,25.000,31,3,0,3,11955.673,0.000
none,sc2.2,cash,16,24.000,0,run_first,20.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,16,24.000,0,run_first,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,16,24.000,0,run_first,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,16,24.000,0,reserve_first_on_down,20.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,16,24.000,0,reserve_first_on_down,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,16,24.000,0,reserve_first_on_down,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,16,16.800,1,run_first,20.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,16,16.800,1,run_first,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,16,16.800,1,run_first,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,16,16.800,1,reserve_first_on_down,20.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,16,16.800,1,reserve_first_on_down,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,16,16.800,1,reserve_first_on_down,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,16,9.600,2,run_first,20.000,31,3,0,3,11955.673,0.000
none,sc2.2,cash,16,9.600,2,run_first,22.000,31,3,0,3,11955.673,0.000
none,sc2.2,cash,16,9.600,2,run_first,25.000,31,3,0,3,11955.673,0.000
none,sc2.2,cash,16,9.600,2,reserve_first_on_down,20.000,31,3,0,3,11955.673,0.000
none,sc2.2,cash,16,9.600,2,reserve_first_on_down,22.000,31,3,0,3,11955.673,0.000
none,sc2.2,cash,16,9.600,2,reserve_first_on_down,25.000,31,3,0,3,11955.673,0.000
none,sc2.2,cash,22,18.000,0,run_first,20.000,17,2,0,2,5368.714,0.000
none,sc2.2,cash,22,18.000,0,run_first,22.000,17,2,0,2,7312.280,0.000
none,sc2.2,cash,22,18.000,0,run_first,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,22,18.000,0,reserve_first_on_down,20.000,32,4,0,4,5314.730,0.000
none,sc2.2,cash,22,18.000,0,reserve_first_on_down,22.000,26,3,0,3,5699.623,0.000
none,sc2.2,cash,22,18.000,0,reserve_first_on_down,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,22,10.800,1,run_first,20.000,32,4,0,4,5321.018,0.000
none,sc2.2,cash,22,10.800,1,run_first,22.000,26,3,0,3,8240.335,0.000
none,sc2.2,cash,22,10.800,1,run_first,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,22,10.800,1,reserve_first_on_down,20.000,32,4,0,4,6399.591,0.000
none,sc2.2,cash,22,10.800,1,reserve_first_on_down,22.000,26,3,0,3,10003.666,0.000
none,sc2.2,cash,22,10.800,1,reserve_first_on_down,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,22,3.600,2,run_first,20.000,26,3,0,3,8513.758,0.000
none,sc2.2,cash,22,3.600,2,run_first,22.000,26,3,0,3,9876.894,0.000
none,sc2.2,cash,22,3.600,2,run_first,25.000,31,3,0,3,11955.673,0.000
none,sc2.2,cash,22,3.600,2,reserve_first_on_down,20.000,26,3,0,3,8596.816,0.000
none,sc2.2,cash,22,3.600,2,reserve_first_on_down,22.000,26,3,0,3,10003.666,0.000
none,sc2.2,cash,22,3.600,2,reserve_first_on_down,25.000,31,3,0,3,11955.673,0.000
none,sc2.2,cash,19,21.000,0,run_first,20.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,19,21.000,0,run_first,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,19,21.000,0,run_first,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,19,21.000,0,reserve_first_on_down,20.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,19,21.000,0,reserve_first_on_down,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,19,21.000,0,reserve_first_on_down,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,19,13.800,1,run_first,20.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,19,13.800,1,run_first,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,19,13.800,1,run_first,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,19,13.800,1,reserve_first_on_down,20.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,19,13.800,1,reserve_first_on_down,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,19,13.800,1,reserve_first_on_down,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,cash,19,6.600,2,run_first,20.000,31,3,0,3,11955.673,0.000
none,sc2.2,cash,19,6.600,2,run_first,22.000,31,3,0,3,11955.673,0.000
none,sc2.2,cash,19,6.600,2,run_first,25.000,31,3,0,3,11955.673,0.000
none,sc2.2,cash,19,6.600,2,reserve_first_on_down,20.000,31,3,0,3,11955.673,0.000
none,sc2.2,cash,19,6.600,2,reserve_first_on_down,22.000,31,3,0,3,11955.673,0.000
none,sc2.2,cash,19,6.600,2,reserve_first_on_down,25.000,31,3,0,3,11955.673,0.000
none,sc2.0,bond,20,20.000,0,run_first,20.000,11,1,0,1,5133.098,0.000
none,sc2.0,bond,20,20.000,0,run_first,22.000,34,3,0,3,8299.043,0.000
none,sc2.0,bond,20,20.000,0,run_first,25.000,34,3,0,3,8299.043,0.000
none,sc2.0,bond,20,20.000,0,reserve_first_on_down,20.000,22,2,0,2,4787.198,0.000
none,sc2.0,bond,20,20.000,0,reserve_first_on_down,22.000,34,3,0,3,8299.043,0.000
none,sc2.0,bond,20,20.000,0,reserve_first_on_down,25.000,34,3,0,3,8299.043,0.000
none,sc2.0,bond,20,12.800,1,run_first,20.000,13,1,0,1,3327.909,0.000
none,sc2.0,bond,20,12.800,1,run_first,22.000,34,3,0,3,8299.043,0.000
none,sc2.0,bond,20,12.800,1,run_first,25.000,34,3,0,3,8299.043,0.000
none,sc2.0,bond,20,12.800,1,reserve_first_on_down,20.000,13,1,0,1,4628.479,0.000
none,sc2.0,bond,20,12.800,1,reserve_first_on_down,22.000,34,3,0,3,8299.043,0.000
none,sc2.0,bond,20,12.800,1,reserve_first_on_down,25.000,34,3,0,3,8299.043,0.000
none,sc2.0,bond,20,5.600,2,run_first,20.000,21,2,0,2,5204.071,0.000
none,sc2.0,bond,20,5.600,2,run_first,22.000,31,3,0,3,7619.452,0.000
none,sc2.0,bond,20,5.600,2,run_first,25.000,31,3,0,3,7619.452,0.000
none,sc2.0,bond,20,5.600,2,reserve_first_on_down,20.000,21,2,0,2,5204.944,0.000
none,sc2.0,bond,20,5.600,2,reserve_first_on_down,22.000,31,3,0,3,7619.452,0.000
none,sc2.0,bond,20,5.600,2,reserve_first_on_down,25.000,31,3,0,3,7619.452,0.000
none,sc2.0,bond,18,22.000,0,run_first,20.000,34,3,0,3,8299.043,0.000
none,sc2.0,bond,18,22.000,0,run_first,22.000,34,3,0,3,8299.043,0.000
