strat,runfrac,floor_real_M,top_wr,g,labor_total,shortfall_years_total,worst_real_spend_M,median_total_real_M,median_terminal_nom_M,ruin
sc2.6,0.5,4.0,0.16,0.035,0,187,4.0,132.8,3807.4,0
sc2.6,0.5,4.0,0.18,0.035,0,120,4.0,137.6,2797.3,0
sc2.6,0.5,4.0,0.2,0.035,2,113,0.0,137.6,2733.9,1
sc2.6,0.5,4.5,0.16,0.035,0,186,4.5,135.9,4456.8,0
sc2.6,0.5,4.5,0.18,0.035,0,125,4.5,138.6,2478.2,0
sc2.6,0.5,4.5,0.2,0.035,7,113,0.0,138.6,2532.4,1
sc2.6,0.5,5.0,0.16,0.035,0,171,5.0,136.3,4941.8,0
sc2.6,0.5,5.0,0.18,0.035,3,142,0.0,138.5,2002.3,1
sc2.6,0.5,5.0,0.2,0.035,0,123,5.0,138.5,1821.8,0
sc2.6,0.5,5.5,0.16,0.035,8,198,0.0,137.2,4036.3,1
sc2.6,0.5,5.5,0.18,0.035,2,168,0.0,138.9,1831.8,1
sc2.6,0.5,5.5,0.2,0.035,17,145,0.0,139.8,2129.2,3
sc2.6,0.5,6.0,0.16,0.035,12,229,0.0,139.2,3347.5,4
sc2.6,0.5,6.0,0.18,0.035,34,179,0.0,140.4,1795.6,6
sc2.6,0.5,6.0,0.2,0.035,35,163,0.0,141.0,1869.5,6
sc2.6,0.5,6.37,0.16,0.035,25,247,0.0,139.8,2560.6,4
sc2.6,0.5,6.37,0.18,0.035,52,200,0.0,141.1,1350.4,8
sc2.6,0.5,6.37,0.2,0.035,51,174,0.0,142.3,1464.9,8
sc2.6,0.6,4.0,0.16,0.035,0,148,4.0,132.8,3569.2,0
sc2.6,0.6,4.0,0.18,0.035,0,124,4.0,137.6,3147.3,0
sc2.6,0.6,4.0,0.2,0.035,0,107,4.0,137.6,3814.8,0
sc2.6,0.6,4.5,0.16,0.035,0,159,4.5,133.2,3258.0,0
sc2.6,0.6,4.5,0.18,0.035,0,137,4.5,135.9,3814.8,0
sc2.6,0.6,4.5,0.2,0.035,0,128,4.5,138.6,3814.8,0
sc2.6,0.6,5.0,0.16,0.035,0,186,5.0,134.1,2904.0,0
sc2.6,0.6,5.0,0.18,0.035,0,153,5.0,137.4,3712.4,0
sc2.6,0.6,5.0,0.2,0.035,3,118,0.0,139.6,3814.8,1
sc2.6,0.6,5.5,0.16,0.035,8,226,0.0,136.3,4061.0,3
sc2.6,0.6,5.5,0.18,0.035,13,152,0.0,139.8,3164.4,3
sc2.6,0.6,5.5,0.2,0.035,16,134,0.0,140.6,3814.8,3
sc2.6,0.6,6.0,0.16,0.035,22,249,0.0,136.8,2254.0,5
sc2.6,0.6,6.0,0.18,0.035,29,175,0.0,141.0,3814.8,5
sc2.6,0.6,6.0,0.2,0.035,33,159,0.0,141.6,4014.9,6
sc2.6,0.6,6.37,0.16,0.035,44,257,0.0,139.0,1507.1,7
sc2.6,0.6,6.37,0.18,0.035,51,186,0.0,141.5,3877.1,7
sc2.6,0.6,6.37,0.2,0.035,56,167,0.0,142.3,3814.8,8
