indicator,horizon,IC,IC_pval,IC_abs,hit_rate_high,hit_rate_low,spread,spread_t,WF_avg_IC,WF_stable,WF_IC_1,WF_IC_2,WF_IC_3,WF_IC_4,WF_IC_5,WF_IC_6,WF_IC_7,asset
TF4_DualM_42_126,63,0.006749604472515494,0.43978810341756563,0.006749604472515494,0.637001984429858,0.6213369963369964,-0.0015922632674916642,-0.33217364629790014,0.11555772822298083,5,-0.06268568052646542,0.09871157689571676,0.23335967653639425,0.329038153698248,0.2346997998789725,0.028818918108717853,-0.05303834703071814,Bond
TF4_DualM_42_189,5,-0.03896173309898245,7.784828327334372e-06,0.03896173309898245,0.5329787234042553,0.5661753532897736,-0.0019798085694155395,-1.780771761855531,0.012555964934664753,3,-0.006439318860635181,0.017092748366098875,-0.023092453014508102,0.0500872061681294,0.07417442635945784,0.006982555412173094,-0.030913409888062647,Bond
TF4_DualM_42_189,21,-0.040333766118781166,3.7320000158583935e-06,0.040333766118781166,0.5794278758368837,0.5945534763426137,-0.004654820820855363,-1.8231895767146886,0.06167089568344686,2,-0.012730573450942162,0.05996462046973309,0.08240260913387022,0.09964459690666295,0.1515666542275463,0.09071801358870576,-0.03986965109144823,Bond
TF4_DualM_42_189,63,-0.07053079182218658,6.327610855050943e-16,0.07053079182218658,0.6119676385284689,0.6463675213675214,-0.03337109613558767,-6.756663351707548,0.07498968256012727,3,-0.03758101533769462,0.12033084570986328,-0.03195036463301136,0.15142320887309907,0.1755212035666998,0.1661267944808953,-0.018942894738960617,Bond
TF4_DualM_42_252,5,-0.06450565276075268,1.290028679419306e-13,0.06450565276075268,0.5238601823708207,0.575292508737274,-0.004476763052330628,-4.124317876256135,0.012670676836151562,0,0.01857294329372881,0.020124826858347367,0.016558904615337655,0.004263177481885139,0.010671274024492076,0.01612608835184122,0.0023775232274286786,Bond
TF4_DualM_42_252,21,-0.07499613433176718,7.322724903135106e-18,0.07499613433176718,0.5558429701765064,0.6181347938536437,-0.013156636227663243,-5.253638114712157,0.05671138027454442,0,0.015051062811680671,0.08027534722558088,0.10769052152819485,0.05573566437931247,0.014116822853960386,0.10010063904331548,0.024009604079766215,Bond
TF4_DualM_42_252,63,-0.081375480446642,1.0636935813076635e-20,0.081375480446642,0.6073881850099222,0.650946275946276,-0.037010605881211515,-7.675752846913452,0.10217705231313544,2,-0.004432863588820885,0.18640580777225133,0.18550572499839957,0.1195808259117141,0.15258867066885415,0.16512677312310026,-0.08953557269355054,Bond
TF4_DualM_63_126,5,-0.015384858015551613,0.07757901388711673,0.015384858015551613,0.5439209726443769,0.5552347667527732,-0.0009985299928887289,-0.9401902140291273,0.03462724649355668,0,0.018753066298119053,0.06140132868721973,0.009220022150578022,0.10650861379263939,0.013876004827800778,0.011595247800164502,0.021036441898375315,Bond
TF4_DualM_63_126,21,0.006167642184601131,0.47952309714188296,0.006167642184601131,0.595861229458308,0.5781226228510573,-0.000628982489114166,-0.26095889927792576,0.09564345766900963,5,-0.024816166052958114,0.1579061402013654,0.16935603132670965,0.20554555463213128,0.13247139952918155,0.047455709185584144,-0.01841446513894655,Bond
TF4_DualM_63_126,63,0.007002297700282801,0.4228568714296893,0.007002297700282801,0.6337963669668752,0.6245421245421245,-0.0012984011517330266,-0.27851029920935605,0.09200454476559568,5,-0.15726818403526271,0.11671668271910388,0.16352464062543434,0.3234330385010196,0.28113005538950214,0.04068289497328641,-0.12418731481391392,Bond
TF4_DualM_63_189,5,-0.03502541140141596,5.844177743871567e-05,0.03502541140141596,0.5367781155015198,0.5623765385199818,-0.0015661120694663026,-1.3971637716337935,0.0065840687065349245,3,-0.015516267468872936,0.06363674353554863,-0.06588260460128081,0.029376323012729123,0.06258220255332385,0.014966123545591552,-0.04307403963129494,Bond
TF4_DualM_63_189,21,-0.02787624283847144,0.0013916644649274307,0.02787624283847144,0.5809494826536823,0.5930321010193215,-0.0023038331737937623,-0.914647878215269,0.06486488950177695,2,-0.05208127581506178,0.1406621691093802,0.04337413128145036,0.10498103713073575,0.19658435135075764,0.10829575718009761,-0.08776194372492122,Bond
TF4_DualM_63_189,63,-0.06750757193175771,1.0294302988976512e-14,0.06750757193175771,0.6130361776827965,0.6452991452991453,-0.02877769281440818,-5.9165596162674605,0.052328086240535844,3,-0.08639582553304198,0.13162354229011522,-0.10250142733566894,0.1359023690192218,0.1807043093355977,0.19096790674755357,-0.08400427084002653,Bond
TF4_DualM_63_252,5,-0.06135995361680166,1.8510215083333923e-12,0.06135995361680166,0.5262917933130699,0.5728612672846072,-0.004248480087814394,-3.9436664064253595,0.011423512808925064,3,0.004554322875856159,0.04824128249737009,-0.004939208249167414,-0.0062833479784374525,-0.0017354382615782297,0.029822550116553038,0.010304428661879268,Bond
TF4_DualM_63_252,21,-0.06055929637462501,3.680389355183681e-12,0.06055929637462501,0.5686244674376141,0.6053552411379888,-0.011316707050718876,-4.551743832044583,0.0688093332841431,1,-0.025229414522283083,0.1575129218029423,0.08856649470403505,0.08251011372069167,0.056344555775021704,0.12029161668977412,0.001669044818819967,Bond
TF4_DualM_63_252,63,-0.07189699312883951,1.7248657133559826e-16,0.07189699312883951,0.6206686002137078,0.6376678876678876,-0.03639127596381647,-7.547591336513973,0.08324611088506173,2,-0.07450875652112261,0.22337201221799102,0.13643367941668405,0.10645187942295824,0.17185619828804258,0.16748610334543076,-0.14836833997455198,Bond
TF5_MACD_12_26_9,5,0.04675205258924896,8.05529927811887e-08,0.04675205258924896,0.5693009118541034,0.5298586840905637,0.004751496081498913,4.217570488035924,0.027342551702921384,5,0.03223060930397206,0.0020940556394801616,0.044387683445262165,0.11510068080642298,-0.05117452372521225,-0.004380591594225826,0.05313994804475038,Bond
TF5_MACD_12_26_9,21,0.07726051185448472,7.284235847119461e-19,0.07726051185448472,0.6092513694461351,0.5647345200060855,0.019850897470445706,7.945358859812214,0.03427489553748632,5,0.08937638849138196,0.028598946014112267,0.050440543588532935,0.0147294089264841,-0.026122535424256,-0.02253867934944017,0.10544019651558913,Bond
TF5_MACD_12_26_9,63,0.04683575318984628,8.156021533409672e-08,0.04683575318984628,0.6534880170966265,0.6048534798534798,0.013581633979000425,2.794633223615266,0.04986801725744289,6,0.12206319771358491,0.031400166984101974,-0.004033308112578038,0.03175321950260043,0.03612872241564693,0.0498950615699315,0.0818690607288125,Bond
TF5_MACD_12_52_9,5,0.05096536894979772,4.913810421230941e-09,0.05096536894979772,0.5673252279635258,0.5318340677708555,0.00524169942160827,4.6956878254057575,0.033688540182097985,5,0.06373231472455365,0.011764322791647882,0.038266386288904844,0.1036556957969844,-0.035611089936220225,-0.0068000123555192115,0.060812163964334594,Bond
TF5_MACD_12_52_9,21,0.07602374742442526,2.5909767967448748e-18,0.07602374742442526,0.6042300669506999,0.56975505857295,0.02211451841941994,9.025269944839984,0.04008912934423852,5,0.1403151147772118,0.03407304310800089,0.030497834453045634,-0.01644566720490656,0.00744887049441192,-0.03049237091908714,0.11522708070099306,Bond
TF5_MACD_12_52_9,63,0.049991787705014945,1.0312302754050908e-08,0.049991787705014945,0.6469241337200428,0.6114163614163615,0.015610225118309513,3.218389511893295,0.06382297789831545,6,0.12385234644224906,0.07587842243194401,-0.006173763514266058,0.046664052135247755,0.0849223796450765,0.06892465867356405,0.05269274947439291,Bond
TF5_MACD_26_52_18,5,0.05684701374352234,6.744699193819448e-11,0.05684701374352234,0.5702127659574469,0.5289469685458137,0.00793310362741564,6.8538712659364585,0.04244776641729737,5,0.10932770416488684,0.04382706676776693,0.018098767691649222,0.05000822903920601,-5.916927774624657e-05,-0.00045562716330288343,0.07638739369862166,Bond
TF5_MACD_26_52_18,21,0.06022988339426873,4.810014345732246e-12,0.06022988339426873,0.6092513694461351,0.5647345200060855,0.021078166410984905,8.449450162829912,0.05886178294093376,5,0.19738574741828635,0.07847327194159617,-0.010221170862814493,-0.06171697625232176,0.09197028960267824,0.0025076416729679116,0.11363367706614391,Bond
TF5_MACD_26_52_18,63,0.03607462059296845,3.622079750752886e-05,0.03607462059296845,0.6426499771027324,0.6156898656898657,0.00793545701402859,1.5978441440027888,0.07870382451730987,5,0.0805541255844735,0.1885668650440721,-0.014327088829365509,0.0538589924517131,0.17352715098776392,0.09899217991639572,-0.030245453533883797,Bond
TF6_SlopeZ_100_60,5,0.042572991222608686,1.0301791345988836e-06,0.042572991222608686,0.5571428571428572,0.5420148913538976,0.004462332264376358,4.817540876336914,0.04983505905235228,7,0.0740031851183174,0.07144907787789911,0.036540907497807744,0.10988700570067668,0.01103237749930488,0.01480011017004631,0.031132749502413924,Bond
TF6_SlopeZ_100_60,21,0.04308657984250029,7.741558317259579e-07,0.04308657984250029,0.5973828362751065,0.5766012475277651,0.008131348923573657,4.378652077937415,0.05704458583913165,6,0.039093206792946214,0.11682463938957886,0.01842331054300046,0.0739063751211581,0.13633861045756662,0.043449599047400596,-0.02872364047772929,Bond
TF6_SlopeZ_100_60,63,-0.00790522762909063,0.36555754259265244,0.00790522762909063,0.6339746597841389,0.6245901639344262,-0.013426353708043876,-3.5015936492656445,0.007374514869231781,3,-0.14007696827582475,0.10120417580332511,-0.174003861422195,0.023026475257470914,0.18727691215053577,0.1812438418067776,-0.12704897123546718,Bond
TF6_SlopeZ_100_120,5,0.015509957732796884,0.07519680145163454,0.015509957732796884,0.549740616417455,0.5494172846980475,0.002996102304926149,3.0671386677267884,0.021260742752679574,5,0.021002979574464783,0.06216104583585898,-0.02961959377121434,0.048702382440643434,0.027099254955029194,0.04119531160918602,-0.02171618137521106,Bond
TF6_SlopeZ_100_120,21,0.005937337694553582,0.4960823452062443,0.005937337694553582,0.5862068965517241,0.5877712031558185,0.0042499939766596755,2.1496589726756414,0.01914792025774618,4,-0.011448051422998408,0.10594504906003781,-0.1273517365104742,0.0265647155756019,0.12961053345629056,0.08523267787164772,-0.0745177462258821,Bond
TF6_SlopeZ_100_120,63,-0.04236236044167735,1.2292496667982623e-06,0.04236236044167735,0.6174629827507251,0.6408730158730159,-0.01834630429411932,-4.883878696995492,-0.027886107812229777,4,-0.0849890165574448,0.0817148131776016,-0.32208512074560247,-0.09827219039946226,0.16968213946343724,0.20940345452247136,-0.1506568341466091,Bond
TF6_SlopeZ_200_60,5,0.008805959983136276,0.3124206985667946,0.008805959983136276,0.5480086446434085,0.5510998054765823,0.0021493429801318145,2.1391804010319238,0.0164655411542444,5,0.09336018070122384,0.01584212468924561,0.005932544240440908,-0.01174023223268656,-0.09056446396972678,0.044330138499387405,0.05809849615182637,Bond
TF6_SlopeZ_200_60,21,-0.004111273631248602,0.6374111955908325,0.004111273631248602,0.5779049976790964,0.5957797066746483,-0.0011850113274470778,-0.5859314115475345,0.020066528101891582,2,0.11952048452347104,0.04259265594923272,0.024495890236236693,-0.11256320229828616,-0.06771490609123167,0.07869671256227241,0.055438061831546044,Bond
TF6_SlopeZ_200_60,63,0.006330962640455801,0.46867727963232536,0.006330962640455801,0.6285802755844558,0.6297411198073449,-0.0003043191454589686,-0.07573560000853215,0.0285461266977717,5,0.045711116254001115,0.2543568036277158,0.024005863053418477,-0.10511009805034008,0.05386256837177608,0.08577008382343211,-0.15877345019560155,Bond
TF6_SlopeZ_200_120,5,0.006687495505162459,0.44300151266907495,0.006687495505162459,0.5498673326049633,0.5493041160793604,0.0008785967392528483,0.8740993975997399,0.008176857308182532,4,0.04697841222235569,0.047860143333580005,0.022225713384699045,-0.035825977558444966,-0.045632062466073084,0.02817999653961979,-0.006548224298458747,Bond
TF6_SlopeZ_200_120,21,-0.004113945871305943,0.6371924744638751,0.004113945871305943,0.5881801125703565,0.5858645725292636,-0.004545270429910556,-2.1439962163190813,-0.0003248571566337792,3,0.05191347124446056,0.11617929377122713,0.025661093975950018,-0.14274935657452126,-0.008993317331418617,0.033403800143076354,-0.07768898532521062,Bond
TF6_SlopeZ_200_120,63,0.012978015313364403,0.13741336972900278,0.012978015313364403,0.6381846635367762,0.6205869208997468,0.007179717055683009,1.7018805660133636,-0.0033430083705966846,4,-0.010544063356821743,0.2947046219726091,0.04424946490431869,-0.20767162928542177,0.11297242067012367,0.01737239221844391,-0.2744842657174287,Bond
VL1_Vol_10,5,-0.01588092944946089,0.06848164672019781,0.01588092944946089,0.558966565349544,0.5401914602643975,-0.0038656027149827433,-3.3227701862865,0.01610201442493722,4,0.07592984621865861,0.056230058243829865,0.06043437638407045,-0.0286577838743423,-0.003037964033885356,-0.04107722456914475,-0.007107207394626006,Bond
VL1_Vol_10,21,-0.045541676911114944,1.7543794216820755e-07,0.045541676911114944,0.5888618381010347,0.5851209493382017,-0.02134515058088322,-8.289327212455426,0.013289275588061264,4,0.1315016372016218,0.19261026971287018,0.04690571129888424,-0.11586256897194616,-0.01693500193810803,-0.11626133815421204,-0.02893378003268114,Bond
